Commodity,Transport Mode,Mass Shipped (kg),Avg. Dist. Shipped (km),Mass Frac. by Mode,Weighted Dist. Shipped (km)
Plastics and Rubber,company-owned truck,28906953776.774166,77.15,0.19639331933570534,15.151744586749668
Plastics and Rubber,rail,21763247433.184288,793.33,0.1478591080863554,117.30106621814835
Plastics and Rubber,air(incl. truck & air),156393766.82186,3082.38,0.0010625364134438018,3.2751409900709056
Precision Instruments and Apparatus,for-hire truck,3927551972.4934382,1758.07,0.8150521680170353,1432.9187650257093
Precision Instruments and Apparatus,company-owned truck,755445176.399328,101.76,0.15677124915329496,15.953042313839296
Precision Instruments and Apparatus,air(incl. truck & air),135776577.0257808,2404.1,0.028176582829669863,67.73932278080932
Printed Products,for-hire truck,17262887619.981762,135.25,0.753440782959116,101.90286589522044
Printed Products,company-owned truck,5627882362.86783,59.13,0.2456295949568035,14.524077949795792
Printed Products,air(incl. truck & air),21299565.844455995,2502.07,0.0009296220840805731,2.3259795279154796
"Pulp, Newsprint, Paper, and Paperboard",for-hire truck,68842468977.14062,685.04,0.7179489538055407,491.8237513149476
"Pulp, Newsprint, Paper, and Paperboard",company-owned truck,17763293757.53134,83.27,0.18525102830920895,15.425853127307828
"Pulp, Newsprint, Paper, and Paperboard",rail,9281160539.623495,1254.56,0.09679198899354641,121.43135771174357
"Pulp, Newsprint, Paper, and Paperboard",air(incl. truck & air),769871.9040128001,2252.31,8.02889170395392e-06,0.018083553073732453
"Textiles, Leather, and Articles of Textiles or Leather",for-hire truck,21577491323.549133,1438.67,0.7582535533013748,1090.8766395280888
"Textiles, Leather, and Articles of Textiles or Leather",company-owned truck,6808891544.05206,97.75,0.23927092032642996,23.38873246190853
"Textiles, Leather, and Articles of Textiles or Leather",air(incl. truck & air),45230701.8316016,2931.09,0.0015894498516005307,4.6588205655278
"Textiles, Leather, and Articles of Textiles or Leather",deep sea,13818994.4378192,4.83,0.0004856125987219184,0.002345508851826866
"Textiles, Leather, and Articles of Textiles or Leather",rail,11395933.14398,3799.79,0.0004004639218729364,1.5216788056935648
Tobacco Products,for-hire truck,2896356882.1249447,312.99,0.7287700665492394,228.09774312924642
Tobacco Products,company-owned truck,1071789987.9758337,103.19,0.26967963295010194,27.82824132412102
Tobacco Products,air(incl. truck & air),6161372.0575896,3053.95,0.00155030050065857,4.734540213986239
